"pu","do_loc","tipo_taxi","volume","avg_speed"
"237","236","yellow","797160","10.0522065956738"
"236","237","yellow","682013","10.589207475579729"
"264","264","yellow","559243","22.049847500587386"
"237","237","yellow","550684","9.162488544396373"
"236","236","yellow","529784","11.200642287294494"
"161","237","yellow","356495","10.202995494417145"
"237","161","yellow","349333","18.89059799645321"
"161","236","yellow","306593","10.230697950137824"
"142","239","yellow","302723","10.615619126060162"
"239","142","yellow","298585","9.479851766542126"
"132","132","yellow","295027","84.24684807076581"
"237","162","yellow","289953","33.99552059131738"
"239","238","yellow","287776","13.530375914376643"
"141","236","yellow","269535","10.560965144510497"
"236","161","yellow","269246","12.409231970561265"
"132","230","yellow","267778","23.40005373623909"
"238","239","yellow","244018","27.546848406669145"
"186","230","yellow","241875","6.052180686534432"
"162","237","yellow","240138","8.82582835855931"
"236","141","yellow","238878","8.37098278155794"
"142","238","yellow","238160","17.418488797070392"
"236","239","yellow","235019","11.238200798488425"
"237","141","yellow","233969","9.923633291567565"
"186","161","yellow","229376","6.929542699869473"
"48","68","yellow","225446","17.206080884899333"
"263","141","yellow","223939","19.948364069553534"
"142","237","yellow","222841","12.194997794937978"
"138","230","yellow","221772","17.996936056337606"
"161","161","yellow","221316","11.768062879202317"
"237","142","yellow","219743","8.736095272204544"
"263","236","yellow","219645","20.151805936306673"
"239","236","yellow","219518","25.887984118742445"
"141","237","yellow","217758","8.766303385229806"
"237","263","yellow","217056","10.60935909079349"
"132","265","yellow","216462","41.373795912844244"
"161","234","yellow","215705","8.500922794605787"
"236","238","yellow","214304","15.061550332602302"
"236","162","yellow","211448","13.421168574918287"
"161","164","yellow","207940","12.077261815618089"
"142","236","yellow","205873","16.233535526437862"
"140","236","yellow","205477","10.266453309645808"
"162","236","yellow","205256","10.148910938054206"
"239","239","yellow","204907","36.77691981693192"
"107","170","yellow","203152","9.331231811045615"
"163","236","yellow","197023","10.347115161348418"
"230","186","yellow","196745","7.949038214956819"
"236","142","yellow","195718","18.480595074321933"
"262","236","yellow","194056","8.355980350739813"
"163","237","yellow","191578","7.948401602055773"
"237","140","yellow","191148","7.4073342193639"
"234","170","yellow","189982","8.031728927133537"
"238","142","yellow","187367","37.639165780325094"
"48","48","yellow","186525","64.77903531126927"
"186","170","yellow","184599","9.10798936493679"
"236","263","yellow","183213","11.88743028625445"
"236","262","yellow","183141","7.9560417866695445"
"141","263","yellow","182800","12.35315206809018"
"141","141","yellow","180223","18.7092340558242"
"142","48","yellow","179699","10.271100229296756"
"238","236","yellow","178191","25.270543649279272"
"236","75","yellow","178155","17.806741178166487"
"142","142","yellow","177516","26.180027511024587"
"236","140","yellow","176398","19.169314193464004"
"163","161","yellow","175890","6.802589575898443"
"142","161","yellow","174529","9.966478825128844"
"162","141","yellow","173960","9.755227060235306"
"237","239","yellow","171982","12.685093155659672"
"161","186","yellow","171438","6.633291952573728"
"140","237","yellow","169832","7.752806191253832"
"68","48","yellow","169613","9.1439728379313"
"237","229","yellow","168984","10.587019879580025"
"161","170","yellow","168246","10.383804051014076"
"164","161","yellow","166126","7.333746351962329"
"162","170","yellow","165880","8.315882741860579"
"161","163","yellow","165439","6.563020233576237"
"68","68","yellow","165425","48.42871780227941"
"237","163","yellow","165063","9.578791433493343"
"161","141","yellow","163511","8.54000293408732"
"161","230","yellow","161245","5.198515938296652"
"132","48","yellow","160901","25.238028689125628"
"239","143","yellow","160252","8.882060377411536"
"142","163","yellow","160124","8.77304178598686"
"186","234","yellow","157958","8.474987440608626"
"229","237","yellow","156527","8.127151312946912"
"237","262","yellow","156270","9.658154910614938"
"230","138","yellow","156137","30.52943507186268"
"170","234","yellow","153671","10.987596413049221"
"141","229","yellow","153541","9.931762252837439"
"263","237","yellow","153059","9.221138841936718"
"161","142","yellow","152443","8.974173331911262"
"43","161","yellow","152280","11.165148869745853"
"48","142","yellow","151929","30.978749332526554"
"239","237","yellow","151115","10.08164678397273"
"230","230","yellow","150961","31.660235499465717"
"170","161","yellow","150867","10.156602055796961"
"79","79","yellow","149742","49.340839696944236"
"170","237","yellow","148780","8.941158592733656"
"142","230","yellow","147699","7.9625369623599624"
"140","263","yellow","147509","20.53113277973241"
"230","142","yellow","147188","9.37718868661385"
